scan, NM, BFGS, CG, SLSQP, errNM, errBFGS, errCG, errSLSQP
"[1, 2]", "38.64, 145.56", "38.64, 145.56", "38.64, 145.56", "38.64, 145.56", 8.6e-08, 3.4e-11, 2.7e-11, 8.0e-07
"[1, 2, 3]", "33.63, 145.79", "33.67, 145.78", "33.6, 145.8", "33.65, 145.78", 1.3e-02, 1.3e-02, 1.3e-02, 1.3e-02
"[1, 2, 3, 4]", "26.53, 146.08", "26.51, 146.08", "26.63, 146.05", "27.62, 145.69", 3.2e-02, 3.2e-02, 3.2e-02, 3.2e-02
"[1, 2, 3, 4, 5]", "19.82, 146.4", "19.77, 146.42", "19.97, 146.34", "25.93, 144.01", 4.9e-02, 4.9e-02, 4.9e-02, 5.1e-02
"[1, 3]", "27.72, 146.09", "27.72, 146.09", "27.42, 146.12", "27.72, 146.09", 1.9e-08, 2.3e-11, 5.3e-04, 5.5e-07
"[1, 3, 5]", "12.35, 146.84", "12.34, 146.84", "12.47, 146.8", "27.55, 142.69", 4.2e-02, 4.2e-02, 4.2e-02, 5.0e-02
"[1, 2, 5]", "20.71, 146.38", "20.68, 146.39", "20.87, 146.33", "28.23, 144.23", 5.4e-02, 5.4e-02, 5.4e-02, 5.6e-02
"[1, 2, 3, 5]", "23.17, 146.27", "23.16, 146.27", "23.32, 146.22", "27.26, 144.83", 5.0e-02, 5.0e-02, 5.0e-02, 5.0e-02
"[1, 2, 3, 7]", "10.86, 146.77", "10.78, 146.81", "11.26, 146.64", "25.65, 141.8", 1.3e-01, 1.3e-01, 1.3e-01, 1.3e-01
"[1, 2, 5, 7]", "0.0, 146.65", "0.01, 144.07", "-0.03, 146.6", "24.17, 138.77", 1.3e-01, 1.3e-01, 9.2e+03, 1.4e-01
"[1, 2, 9]", "35.21, 133.25", "35.33, 133.23", "34.13, 133.49", "28.58, 134.69", 2.9e-01, 2.9e-01, 2.9e-01, 2.9e-01
"[1, 7, 11]", "0.0, 139.65", "0.11, 131.97", "0.3, 139.4", "0.0, 139.22", 1.0e-01, 1.2e-01, 1.1e-01, 1.1e-01
"[1, 9, 11]", "0.0, 134.11", "2.14, 140.56", "-0.01, 134.01", "31.17, 131.88", 2.6e-01, 2.7e-01, 3.3e+02, 2.7e-01
"[1, 2, 7, 11]", "6.3, 143.36", "6.13, 143.4", "6.75, 143.27", "28.41, 138.98", 1.2e-01, 1.2e-01, 1.2e-01, 1.3e-01
"[1, 3, 5, 7]", "0.0, 144.78", "1.2, 148.93", "-0.04, 144.54", "23.41, 137.16", 1.2e-01, 1.3e-01, 1.4e+04, 1.4e-01
"[1, 3, 7, 11]", "0.0, 143.06", "0.09, 145.57", "0.03, 142.99", "27.94, 137.75", 1.1e-01, 1.1e-01, 1.1e-01, 1.2e-01
"[1, 3, 9, 11]", "17.99, 135.72", "17.55, 135.83", "19.26, 135.52", "29.62, 133.93", 2.5e-01, 2.5e-01, 2.5e-01, 2.5e-01
"[2, 3]", "255.0, 6.31", "226.63, 22.8", "31.85, 146.9", "25.49, 150.89", 1.4e-02, 1.6e-02, 1.9e-02, 1.9e-02
"[2, 3, 4]", "255.0, 2.76", "220.28, 27.1", "32.94, 142.01", "23.64, 147.84", 3.6e-02, 4.0e-02, 4.3e-02, 4.4e-02
"[2, 3, 5]", "255.0, 0.39", "223.15, 18.18", "27.06, 143.79", "22.75, 146.5", 6.6e-02, 6.7e-02, 6.9e-02, 6.9e-02
"[2, 3, 4, 5]", "253.36, 0.0", "222.72, 21.59", "27.6, 141.48", "21.9, 145.05", 6.0e-02, 6.3e-02, 6.5e-02, 6.5e-02
"[2, 5, 7]", "231.68, 0.0", "219.66, 12.28", "24.3, 130.33", "15.96, 135.58", 2.0e-01, 2.0e-01, 2.0e-01, 2.0e-01
"[2, 3, 5, 7]", "240.58, 0.0", "216.95, 18.63", "23.89, 136.02", "18.39, 139.46", 1.7e-01, 1.7e-01, 1.7e-01, 1.7e-01
"[3, 5, 7]", "225.52, 0.0", "13.91, 132.23", "14.03, 132.18", "13.92, 132.24", 1.9e-01, 1.9e-01, 1.9e-01, 1.9e-01
